chlorophyll,current_speed,resident_detections,total_detections
0.4525472,0.29546663,787.0,787.0
0.4380924,0.25719824,768.0,768.0
0.36897725,0.2993278,764.0,764.0
0.38455468,0.24419062,747.0,747.0
0.41076076,0.2208763,769.0,769.0
0.4011333,0.22783095,737.0,737.0
0.4468156,0.25581098,764.0,764.0
0.42774177,0.3142708,802.0,802.0
0.5101321,0.34041008,793.0,793.0
0.5645556,0.3756992,698.0,698.0
0.56300586,0.3962698,741.0,741.0
0.5554565,0.39059186,745.0,745.0
0.47217155,0.40154827,738.0,738.0
0.51333934,0.40578926,808.0,808.0
0.4866237,0.43734002,813.0,813.0
0.28209203,0.40220636,735.0,735.0
0.307065,0.31857598,719.0,719.0
0.36008924,0.3170454,751.0,751.0
0.43940496,0.38510132,725.0,725.0
0.43718088,0.3052415,690.0,690.0
0.44865125,0.40453118,726.0,726.0
0.47845083,0.5031563,686.0,686.0
0.5223297,0.46672338,640.0,640.0
0.5164632,0.47560054,604.0,604.0
0.41085124,0.46259212,686.0,686.0
0.4260362,0.44771808,698.0,698.0
0.47120535,0.49328533,639.0,639.0
0.4471838,0.46528673,715.0,715.0
0.42400628,0.4180978,731.0,731.0
0.48319006,0.41757753,671.0,671.0
0.5620578,0.34650928,697.0,697.0
0.59375155,0.24450782,740.0,740.0
0.61728,0.2199063,753.0,753.0
0.48927003,0.20118725,711.0,711.0
0.4369036,0.2298604,746.0,746.0
0.4440894,0.25268066,752.0,752.0
0.51661456,0.28552037,765.0,765.0
0.52128565,0.35224146,727.0,727.0
0.58444196,0.422692,746.0,746.0
0.65578854,0.44406283,752.0,752.0
0.6803875,0.50534534,750.0,750.0
0.6767454,0.4843403,699.0,699.0
0.6928959,0.49086106,690.0,690.0
0.655573,0.48127866,653.0,653.0
0.48978353,0.4642495,544.0,544.0
0.3896574,0.39924645,610.0,610.0
0.34704095,0.34112453,694.0,694.0
0.37676907,0.2656269,684.0,684.0
0.51497495,0.2980811,729.0,729.0
0.6239857,0.34843838,714.0,714.0
0.64137995,0.4068693,675.0,675.0
0.6131091,0.4409839,637.0,637.0
0.57114995,0.42819983,615.0,615.0
0.5594629,0.42979005,629.0,629.0
0.617704,0.40353093,676.0,676.0
0.619056,0.42230865,673.0,673.0
0.6290254,0.419178,663.0,663.0
0.6984298,0.40415198,496.0,497.0
0.740121,0.3224005,607.0,607.0
0.7137383,0.25118837,633.0,633.0
0.74891007,0.20519373,605.0,605.0
0.83784413,0.17045556,746.0,746.0
0.8065728,0.17364605,803.0,803.0
0.7188014,0.17183785,808.0,808.0
0.58777344,0.21482852,736.0,736.0
0.60445607,0.33397374,700.0,700.0
0.5909303,0.32582152,757.0,757.0
0.6503211,0.3808634,693.0,693.0
0.6750772,0.44758672,635.0,635.0
0.6608001,0.41981062,673.0,673.0
0.7219528,0.43014383,766.0,766.0
0.9321734,0.41491944,702.0,702.0
1.0137901,0.43835425,695.0,695.0
0.8847612,0.40568012,653.0,653.0
0.85167336,0.36530265,557.0,557.0
0.8355597,0.2879793,657.0,657.0
0.7686855,0.24377507,699.0,699.0
0.7471297,0.2515669,733.0,733.0
0.70639324,0.30307284,745.0,745.0
0.65858716,0.35358486,697.0,697.0
0.5982976,0.39595312,713.0,713.0
0.51474863,0.40699553,766.0,766.0
0.5369307,0.4013754,770.0,829.0
0.677511,0.38025397,742.0,886.0
0.85127103,0.3930299,731.0,917.0
0.97519463,0.40059924,719.0,1088.0
1.0455478,0.35847425,548.0,881.0
1.1310295,0.32482448,642.0,836.0
1.1184974,0.28302902,4.0,626.0
1.1184974,0.28302902,559.0,626.0
0.879989,0.27304155,53.0,163.0
0.7321105,0.26065767,599.0,611.0
0.72964764,0.26138616,665.0,665.0
0.73589563,0.24898754,646.0,646.0
0.7092091,0.24217543,633.0,633.0
0.71057713,0.26608416,655.0,655.0
0.70082915,0.3076789,36.0,712.0
0.70082915,0.3076789,676.0,712.0
0.73704815,0.3514485,29.0,707.0
0.73704815,0.3514485,676.0,707.0
0.8299273,0.38397658,7.0,807.0
0.8299273,0.38397658,670.0,807.0
0.8893324,0.41472885,616.0,619.0
0.9130324,0.42413804,697.0,700.0
0.7168783,0.42001805,6.0,759.0
0.7168783,0.42001805,750.0,759.0
0.77465,0.40104264,745.0,747.0
0.8539404,0.38334027,745.0,747.0
0.8621412,0.35774586,668.0,669.0
0.80930734,0.38648042,760.0,761.0
0.7909527,0.37427485,788.0,917.0
0.69603086,0.34606862,735.0,886.0
0.65739644,0.2701829,690.0,696.0
0.62142926,0.30694944,738.0,857.0
0.662426,0.335195,65.0,882.0
0.662426,0.335195,753.0,882.0
0.80563664,0.35545522,541.0,1429.0
0.80563664,0.35545522,693.0,1429.0
0.9382873,0.3436185,622.0,1405.0
0.9382873,0.3436185,691.0,1405.0
0.93992734,0.3428948,293.0,993.0
0.93992734,0.3428948,618.0,993.0
0.95611835,0.3295696,372.0,1077.0
0.95611835,0.3295696,705.0,1077.0
1.0075328,0.32969448,201.0,823.0
